exercise_name,muscle_group,difficulty,equipment,duration_min
Partner plank band row,abdominals,2,bands,40
Banded crunch isometric hold,abdominals,2,bands,40
FYR Banded Plank Jack,abdominals,2,bands,40
Banded crunch,abdominals,2,bands,40
Crunch,abdominals,2,bands,40
Decline band press sit-up,abdominals,2,bands,40
FYR2 Banded Frog Pump,abdominals,2,bands,40
Band low-to-high twist,abdominals,2,bands,40
Barbell roll-out,abdominals,2,barbell,40
Barbell Ab Rollout - On Knees,abdominals,2,barbell,40
Decline bar press sit-up,abdominals,2,barbell,40
Bench barbell roll-out,abdominals,1,barbell,40
Barbell Side Bend,abdominals,1,barbell,40
Seated bar twist,abdominals,2,barbell,40
Single-arm landmine pull and press,abdominals,2,barbell,40
Barbell Ab Roll Out - Gethin Variation,abdominals,2,barbell,40
30 Barbell Floor Wiper,abdominals,2,barbell,40
30 Barbell Roll-Out,abdominals,2,barbell,40
Decline plate sit-up,abdominals,2,barbell,40
KV Barbell Hip Thrust,abdominals,2,barbell,40
Advanced Kettlebell Windmill,abdominals,1,kettlebells,40
Kettlebell Windmill,abdominals,2,kettlebells,40
Kettlebell Pass Between The Legs,abdominals,1,kettlebells,40
Kettlebell 3-point leg extension,abdominals,2,kettlebells,40
Double Kettlebell Swing,abdominals,2,kettlebells,40
Burpee over kettlebell,abdominals,2,kettlebells,40
Kettlebell toe-touch,abdominals,2,kettlebells,40
Kettlebell swing,abdominals,2,kettlebells,40
Two-way swing,abdominals,2,kettlebells,40
Kettlebell crab reach,abdominals,2,kettlebells,40
Taylor Single-Arm Kettlebell Swing,abdominals,2,kettlebells,40
Holman Kettlebell Up to Elbow Down,abdominals,2,kettlebells,40
FYR2 Double-Kettlebell Ski,abdominals,2,kettlebells,40
FYR2 Kettlebell Hike,abdominals,2,kettlebells,40
FYR2 Kettlebell Cross-Body Catch,abdominals,2,kettlebells,40
FYR2 Kettlebell Duck Walk,abdominals,2,kettlebells,40
FYR2 Kettlebell Get-Up Reach,abdominals,2,kettlebells,40
FYR2 Kettlebell Juggle,abdominals,2,kettlebells,40
FYR2 Squat-Clean-Alternating-Press Complex,abdominals,2,kettlebells,40
Dumbbell V-Sit Cross Jab,abdominals,2,dumbbell,40
Dumbbell spell caster,abdominals,1,dumbbell,40
Dumbbell side bend,abdominals,2,dumbbell,40
Dumbbell crunch,abdominals,2,dumbbell,40
Dumbbell Fix Dumbbell Sprawl,abdominals,2,dumbbell,40
